"","SUB_REGION","STATE_ABBR"
"1","Pacific","WA"
"277","Mountain","MT"
"574","New England","ME"
"726","West North Central","ND"
"886","West North Central","SD"
"1031","Mountain","WY"
"1079","East North Central","WI"
"1347","Mountain","ID"
"1715","New England","VT"
"1845","West North Central","MN"
"2151","Pacific","OR"
"2350","New England","NH"
"2473","West North Central","IA"
"2721","New England","MA"
"2838","West North Central","NE"
"3034","Middle Atlantic","NY"
"3246","Middle Atlantic","PA"
"3400","New England","CT"
"3440","New England","RI"
"3481","Middle Atlantic","NJ"
"3607","East North Central","IN"
"3871","Mountain","NV"
"3955","Mountain","UT"
"3996","Pacific","CA"
"4274","East North Central","OH"
"4487","East North Central","IL"
"4813","South Atlantic","DC"
"4825","South Atlantic","DE"
"4862","South Atlantic","WV"
"5259","South Atlantic","MD"
"5527","Mountain","CO"
"5583","East South Central","KY"
"5942","West North Central","KS"
"6066","South Atlantic","VA"
"6472","West North Central","MO"
"6808","Mountain","AZ"
"6961","West South Central","OK"
"7277","South Atlantic","NC"
"7576","East South Central","TN"
"7826","West South Central","TX"
"8673","Mountain","NM"
"8731","East South Central","AL"
"8874","East South Central","MS"
"9296","South Atlantic","GA"
"9645","South Atlantic","SC"
"9893","West South Central","AR"
"10230","West South Central","LA"
"10785","South Atlantic","FL"
"11153","East North Central","MI"
